Id,Label,d20,d13,d12,d11,d10,d9,d8,d7,d6,d5,d4,d3,d2,d1
7552,Pitpitak1,1,337,0,0.016,314,36,62,5887.392,153939,25111,7,23,6,278
742143,BBCWorld,2898,0,0,0,11,0,18,5768.756,13322,38974228,0,0,0,11
764537,AminSabeti,1,337,0,0.04,1392,906,63,5758.664,720416,67485,349,479,78,486
787430,Hamed,1,337,0,0.029,134,62,25,5748.24,185388,30165,46,12,4,72
788524,guardiannews,2899,1,0,0,15,0,22,5747.657,830,3850347,0,0,0,15
790728,bbcpersian,88,337,0,0.042,2949,115,64,5746.677,802831,2107386,10,11,94,2834
1652541,Reuters,2900,2,0,0,50,1,35,5721.399,37878,25655509,0,0,1,49
2097571,cnni,2901,3,0,0,12,0,18,5717.69,3463,14297993,0,0,0,12
2172631,nimania,249,337,0,0.015,406,177,60,5716.666,92389,7338,31,121,25,229
2179651,kheyzaran,27,337,0,0,113,72,46,5716.586,16629,17568,7,46,19,41
2216711,farzaaddd,1,337,0,0.018,488,375,62,5716.254,63191,2100,29,319,27,113
2284181,bita,1,337,0,0.041,615,496,53,5715.592,4794,924,19,470,7,119
3920811,DennisN,1,337,0,0.14,4410,4099,64,5701.525,162398,13288,168,3923,8,311
3951121,azam,9,337,0,0,106,53,42,5701.265,103623,2175,22,22,9,53
4782551,Vahid,1,337,0,0.016,1172,213,63,5695.465,8143183,447197,7,23,183,959
4921131,nima,565,337,0,0,204,182,59,5694.316,176343,226001,26,141,15,22
4970411,AJEnglish,2902,4,0,0,42,17,40,5693.831,27742,8206945,0,5,12,25
5107071,Vidaseven,173,162,0,0.014,309,137,60,5692.735,2335,1744,34,59,44,172
5488652,erfunn,1,337,0,0.087,1703,1562,56,5685.845,30198,3419,390,1041,131,141
5618502,AYAyatollahi,77,337,0,0.059,96,71,50,5682.134,8029,3339,45,18,8,25
5775802,1baabak,173,337,0,0.052,850,703,52,5676.25,16102,291,148,467,88,147
5813232,BBCHamedani,113,337,0,0.058,403,339,60,5674.465,85396,30938,61,274,4,64
6134882,dwnews,2903,5,0,0,69,7,43,5662.681,37964,650458,1,2,4,62
6135642,dw_persian,98,337,0,0.126,2022,572,64,5662.727,463680,1147066,0,0,572,1450
6167132,arashzd,2904,6,0,0,76,57,49,5661.299,44173,46244,10,44,3,19
6168042,darvish100,27,337,0,0.01,74,40,59,5661.243,90412,21713,25,13,2,34
6195222,puyahe,2905,7,0,0,103,62,22,5659.81,481,2053,3,57,2,41
6509832,CNNnews18,2906,8,0,0,28,5,15,5648.306,2500,4737796,0,5,0,23
7214152,Morfi,1,337,0,0.197,1363,1303,58,5617.299,80279,5695,114,1147,42,60
7852122,peiman,1,337,0,0.011,214,15,55,5588.465,17062,5393,8,2,5,199
